XX,YY,Zb,Zc_slope,Zc_slope_std1,Zc_slope_std2,Zt_slope,Zt_slope_std1,Zt_slope_std2,fractal_parameter,lat,long,window_no,x_center,y_center
2596000,2291000,30.347609616598,22.4092151302019,20.1368512380406,24.6815790223631,14.4708206438058,11.7301574818261,17.2114838057854,2.5,20.2763797252658,23.3202647757428,39,2596,2291
2846000,2291000,42.966308512359,29.9377644532436,27.7350201457439,32.1405087607434,16.9092203941282,16.7692384552617,17.0492023329948,1,20.2763797252658,25.5660529860416,41,2846,2291
3096000,2291000,45.4977521278434,32.4284594948242,30.2226333744266,34.6342856152217,19.359166861805,16.7720048660979,21.9463288575122,1,20.2763797252658,27.8118411963404,43,3096,2291
3346000,2291000,48.7240294963635,32.6733195245128,30.9001141395469,34.4465249094788,16.6226095526621,11.7893509229595,21.4558681823648,1,20.2763797252658,30.0576294066392,45,3346,2291
3596000,2291000,32.8571388342265,24.9111860361917,23.6350301832817,26.1873418891017,16.9652332381569,16.4938885896434,17.4365778866704,1,20.2763797252658,32.303417616938,47,3596,2291
3846000,2291000,35.5691145836691,26.2352122912307,24.4723562503313,27.9980683321301,16.9013099987923,13.443564589639,20.3590554079457,1,20.2763797252658,34.5492058272368,49,3846,2291
4096000,2291000,41.6379976848631,28.3834574508985,28.9924560896387,27.7744588121583,15.1289172169339,15.3659754715406,14.8918589623271,1,20.2763797252658,36.7949940375356,51,4096,2291
2596000,2541000,34.6875130867759,23.8913468857936,20.005056943833,27.7776368277542,13.0951806848113,11.1068064694976,15.083554900125,2,22.3804340659364,23.3202647757428,75,2596,2541
2846000,2541000,34.9717155062125,22.8668408671222,24.9910757628024,20.742605971442,10.7619662280319,9.06279482951888,12.4611376265449,2.5,22.3804340659364,25.5660529860416,77,2846,2541
3096000,2541000,32.1771362736787,21.4243195862959,17.8033514471118,25.0452877254801,10.6715028989131,9.79181018446971,11.5511956133564,2.5,22.3804340659364,27.8118411963404,79,3096,2541
3346000,2541000,40.1369141095345,27.5952217163099,26.3926423619999,28.7978010706199,15.0535293230853,12.6445131996516,17.462545446519,1,22.3804340659364,30.0576294066392,81,3346,2541
3596000,2541000,37.5284747329936,27.8414405220171,26.0386629410948,29.6442181029394,18.1544063110406,17.2936695994392,19.0151430226421,1,22.3804340659364,32.303417616938,83,3596,2541
3846000,2541000,42.7349818393505,30.7722238684906,29.9297225492218,31.6147251877595,18.8094658976307,15.1685661679142,22.4503656273472,1,22.3804340659364,34.5492058272368,85,3846,2541
2596000,2791000,37.4820079695868,25.4181056373507,24.8158868905044,26.020324384197,13.3542033051146,11.5937886958237,15.1146179144056,2,24.4527963025642,23.3202647757428,111,2596,2791
2846000,2791000,45.5347982125715,28.7299364480533,27.1345946241895,30.3252782719172,11.9250746835351,7.13062978801587,16.7195195790542,2.5,24.4527963025642,25.5660529860416,113,2846,2791
3096000,2791000,43.9881195357701,27.519925308099,25.4593758275241,29.580474788674,11.0517310804279,7.97927615720387,14.1241860036519,2.5,24.4527963025642,27.8118411963404,115,3096,2791
3346000,2791000,46.2078230580343,29.9766159040932,29.8774088057794,30.0758230024069,13.7454087501521,11.3880879574754,16.1027295428289,1,24.4527963025642,30.0576294066392,117,3346,2791
3596000,2791000,42.4038781440949,27.635153600004,26.865608838698,28.40469836131,12.8664290559131,10.772825930499,14.9600321813272,1,24.4527963025642,32.303417616938,119,3596,2791
3846000,2791000,40.2942001187823,27.9606500984403,28.8913151477712,27.0299850491094,15.6271000780983,13.8070133090446,17.4471868471521,1,24.4527963025642,34.5492058272368,121,3846,2791
4096000,2791000,23.8431033531833,20.0045713469419,18.0268945081864,21.9822481856973,16.1660393407005,17.7076841888961,14.624394492505,1,24.4527963025642,36.7949940375356,123,4096,2791
4346000,2791000,20.7777413815102,17.8628938403367,15.9175558709214,19.8082318097521,14.9480462991632,13.9367692787955,15.9593233195308,2,24.4527963025642,39.0407822478344,125,4346,2791
2346000,3041000,64.08249611839,38.4123367945365,30.7075868313332,46.1170867577397,12.742177470683,9.03149592747246,16.4528590138935,1,26.4912625612249,21.074476565444,145,2346,3041
2596000,3041000,43.9348801765336,30.6399436957808,28.4435091370833,32.8363782544782,17.345007215028,12.4194623446329,22.2705520854232,1,26.4912625612249,23.3202647757428,147,2596,3041
2846000,3041000,54.9274205135231,35.5178260763109,35.1126981649822,35.9229539876396,16.1082316390987,13.57877775595,18.6376855222474,1,26.4912625612249,25.5660529860416,149,2846,3041
3096000,3041000,55.8525344550391,35.5171422025371,31.5523271611684,39.4819572439058,15.1817499500351,10.0214061820141,20.3420937180561,1,26.4912625612249,27.8118411963404,151,3096,3041
3346000,3041000,38.5271989655477,26.8531457973679,25.9391202236409,27.7671713710949,15.1790926291881,14.1249694864144,16.2332157719617,1.5,26.4912625612249,30.0576294066392,153,3346,3041
3596000,3041000,39.7778334870396,28.1169324542265,25.0652328961377,31.1686320123153,16.4560314214134,14.7384280927051,18.1736347501218,1.5,26.4912625612249,32.303417616938,155,3596,3041
3846000,3041000,22.9359333412735,19.8554676716049,18.5009500993017,21.2099852439082,16.7750020019363,17.7597757628538,15.7902282410189,1,26.4912625612249,34.5492058272368,157,3846,3041
3971000,3041000,24.1188880395735,20.5466295158458,18.2787850969025,22.814473934789,16.9743709921181,17.9986421677931,15.9500998164432,1,26.4912625612249,35.6720999323862,158,3971,3041
2596000,3291000,56.9951377747928,36.1682498727773,34.8199692339199,37.5165305116348,15.3413619707618,10.3934135395373,20.2893104019864,1,28.4938423112618,23.3202647757428,183,2596,3291
2846000,3291000,51.9050627322989,33.3124586815139,34.0293777916675,32.5955395713602,14.7198546307289,9.67325779599692,19.7664514654609,1,28.4938423112618,25.5660529860416,185,2846,3291
3096000,3291000,47.357674664154,31.8686191521913,28.9757490532174,34.7614892511653,16.3795636402286,10.3854003369406,22.3737269435166,1,28.4938423112618,27.8118411963404,187,3096,3291
3346000,3291000,46.7984067334728,31.4743380372362,32.0260091878938,30.9226668865786,16.1502693409996,12.8201332362833,19.4804054457159,1.5,28.4938423112618,30.0576294066392,189,3346,3291
3596000,3291000,36.5113980205819,26.0105337092232,25.4198910070436,26.6011764114028,15.5096693978645,13.4200707798538,17.5992680158752,1.5,28.4938423112618,32.303417616938,191,3596,3291
3846000,3291000,27.5911410133761,20.4777286873196,18.7231202205364,22.2323371541028,13.3643163612631,13.7605503950689,12.9680823274574,1,28.4938423112618,34.5492058272368,193,3846,3291
4096000,3291000,30.5374248455984,22.4201159372065,22.2531996957608,22.5870321786523,14.3028070288146,14.7169254395433,13.8886886180859,1,28.4938423112618,36.7949940375356,195,4096,3291
2596000,3541000,61.3304049738426,37.1085999467211,37.2654694976355,36.9517303958067,12.8867949195996,10.1142818055365,15.6593080336628,1,30.4587609717903,23.3202647757428,219,2596,3541
2846000,3541000,59.7490898396539,36.4003319508381,35.7457440700399,37.0549198316363,13.0515740620223,7.50741050677741,18.5957376172672,1,30.4587609717903,25.5660529860416,221,2846,3541
3096000,3541000,57.8590521146474,35.8956347354585,34.4024326292524,37.3888368416645,13.9322173562696,7.52033254921975,20.3441021633196,1,30.4587609717903,27.8118411963404,223,3096,3541
3346000,3541000,59.6979677291287,36.8894254730071,33.5301997656539,40.2486511803603,14.0808832168855,8.76289121861714,19.3988752151538,1,30.4587609717903,30.0576294066392,225,3346,3541
3596000,3541000,32.8857683582619,24.5434441212067,23.4257156565681,25.6611725858452,16.2011198841515,14.539439810825,17.862799957478,1,30.4587609717903,32.303417616938,227,3596,3541
3846000,3541000,33.4681024162913,23.9290071249666,23.6240409212673,24.2339733286658,14.3899118336419,14.1307722954498,14.649051371834,1.5,30.4587609717903,34.5492058272368,229,3846,3541
4096000,3541000,42.4740081313687,25.0505118641622,25.3966997651624,24.7043239631621,7.62701559695568,5.84595432622111,9.40807686769026,1.5,30.4587609717903,36.7949940375356,231,4096,3541
2596000,3791000,42.9921822718132,29.3478330073742,27.7021609274023,30.9935050873462,15.7034837429352,14.2492853781103,17.1576821077602,1,32.3844598434843,23.3202647757428,255,2596,3791
2846000,3791000,51.2846105059971,33.6203054313448,30.6462536987176,36.594357163972,15.9560003566925,10.7717297519785,21.1402709614065,1,32.3844598434843,25.5660529860416,257,2846,3791
3096000,3791000,41.8471613862363,27.5565750088794,26.822200006409,28.2909500113499,13.2659886315225,9.70704754147263,16.8249297215724,1,32.3844598434843,27.8118411963404,259,3096,3791
3346000,3791000,46.8810740231112,31.6477084873738,30.9015425681854,32.3938744065622,16.4143429516364,16.4481337671752,16.3805521360977,1,32.3844598434843,30.0576294066392,261,3346,3791
3596000,3791000,48.9132668179245,30.2768675860374,28.1549125739177,32.3988225981571,11.6404683541503,8.39048149514671,14.8904552131539,1,32.3844598434843,32.303417616938,263,3596,3791
3846000,3791000,39.3628841091472,27.2559791122864,26.0337742329256,28.4781839916472,15.1490741154256,13.2376531960212,17.06049503483,1.5,32.3844598434843,34.5492058272368,265,3846,3791
4096000,3791000,19.9854552877975,17.9718395216709,16.5632989476161,19.3803800957257,15.9582237555443,12.2511275352446,19.665319975844,1.5,32.3844598434843,36.7949940375356,267,4096,3791
